-52.241,58.629,-1.1316
-52.161,58.639,-1.1316
-52.081,58.649,-1.1315
-52.001,58.658,-1.1315
-51.921,58.668,-1.1314
-51.841,58.678,-1.1314
-51.761,58.687,-1.1313
-51.68,58.696,-1.1312
-51.6,58.706,-1.1312
-51.52,58.715,-1.1311
-51.44,58.724,-1.131
-51.359,58.734,-1.131
-51.279,58.743,-1.1309
-51.198,58.752,-1.1308
-51.118,58.761,-1.1308
-51.037,58.77,-1.1307
-50.957,58.779,-1.1306
-50.876,58.787,-1.1305
-50.795,58.796,-1.1305
-50.714,58.805,-1.1304
-50.634,58.814,-1.1303
-50.553,58.822,-1.1302
-50.472,58.831,-1.1301
-50.391,58.839,-1.13
-50.31,58.848,-1.13
-50.229,58.856,-1.1299
-50.148,58.864,-1.1298
-50.067,58.873,-1.1297
-49.986,58.881,-1.1296
-49.904,58.889,-1.1295
-49.823,58.897,-1.1294
-49.742,58.905,-1.1293
-49.66,58.913,-1.1292
-49.579,58.921,-1.1292
-49.498,58.929,-1.1291
-49.416,58.936,-1.129
-49.334,58.944,-1.1289
-49.253,58.952,-1.1288
-49.171,58.959,-1.1287
-49.09,58.967,-1.1287
-49.008,58.974,-1.1286
-48.926,58.982,-1.1285
-48.844,58.989,-1.1284
-48.763,58.997,-1.1284
-48.681,59.004,-1.1283
-48.599,59.011,-1.1283
-48.517,59.018,-1.1282
-48.435,59.025,-1.1282
-48.353,59.032,-1.1282
-48.271,59.039,-1.1281
-48.189,59.046,-1.1281
-48.107,59.053,-1.1281
-48.025,59.059,-1.1281
-47.942,59.066,-1.1281
-47.86,59.073,-1.1281
-47.778,59.079,-1.1281
-47.695,59.086,-0.72118
-47.613,59.092,-0.72151
-47.531,59.099,-0.7219
-47.448,59.105,-0.72235
-47.366,59.111,-0.72288
-47.283,59.118,-0.72348
-47.201,59.124,-0.72417
-47.118,59.13,-0.72496
-47.036,59.136,-0.72586
-46.953,59.142,-0.72687
-46.87,59.148,-0.728
-46.788,59.153,-0.72928
-46.705,59.159,-0.73071
-46.622,59.165,-0.73231
-46.539,59.171,-0.73408
