-35.55;59.264;8.4975
-35.466;59.261;8.5217
-35.382;59.258;8.546
-35.298;59.256;8.5704
-35.214;59.253;8.5949
-35.13;59.25;8.6195
-35.046;59.247;8.6442
-34.962;59.244;8.6689
-34.878;59.241;8.6934
-34.795;59.238;8.7178
-34.711;59.235;8.7422
-34.627;59.231;8.7668
-34.543;59.228;8.7914
-34.46;59.225;8.8161
-34.376;59.221;8.8409
-34.292;59.218;8.8653
-34.208;59.214;8.8897
-34.125;59.211;8.9142
-34.041;59.207;8.9388
-33.958;59.203;8.9633
-33.874;59.199;8.9876
-33.79;59.196;9.012
-33.707;59.192;9.0363
-33.623;59.188;9.0606
-33.54;59.184;9.0846
-33.456;59.179;9.1084
-33.373;59.175;9.1324
-33.289;59.171;9.1564
-33.206;59.167;9.1805
-33.123;59.162;9.2045
-33.039;59.158;9.2287
-32.956;59.153;9.253
-32.873;59.149;9.2774
-32.789;59.144;9.3017
-32.706;59.14;9.3259
-32.623;59.135;9.3503
-32.54;59.13;9.3748
-32.456;59.125;9.3993
-32.373;59.12;9.424
-32.29;59.115;9.4487
-32.207;59.11;9.4738
-32.124;59.105;9.4989
-32.041;59.1;9.5242
-31.958;59.095;9.5496
-31.875;59.089;9.5751
-31.792;59.084;9.6006
-31.709;59.079;9.6261
-31.626;59.073;9.6514
-31.543;59.068;9.6767
-31.461;59.062;9.7019
-31.378;59.056;9.727
-31.295;59.051;9.7521
-31.212;59.045;9.777
-31.13;59.039;9.8019
-31.047;59.033;9.8267
-30.964;59.027;9.8516
-30.882;59.021;9.8758
-30.799;59.015;9.9
-30.717;59.009;9.9245
-30.634;59.003;9.9492
-30.552;58.996;9.974
-30.469;58.99;9.9987
-30.387;58.984;10.023
-30.304;58.977;10.048
-30.222;58.971;10.073
-30.14;58.964;10.098
-30.058;58.957;10.122
-29.975;58.951;10.147
-29.893;58.944;10.171
-29.811;58.937;10.196
-29.729;58.93;10.22
-29.647;58.923;10.245
-29.565;58.916;10.27
-29.483;58.909;10.295
-29.401;58.902;10.32
-29.319;58.895;10.345
-29.237;58.888;10.37
-29.156;58.88;10.396
-29.074;58.873;10.421
-28.992;58.866;10.447
-28.91;58.858;10.473
-28.829;58.851;10.499
-28.747;58.843;10.525
-28.665;58.835;10.551
-28.584;58.828;10.576
-28.502;58.82;10.602
-28.421;58.812;10.628
-28.34;58.804;10.653
-28.258;58.796;10.678
-28.177;58.788;10.704
-28.096;58.78;10.728
-28.015;58.772;10.753
-27.933;58.764;10.777
-27.852;58.755;10.801
-27.771;58.747;10.825
-27.69;58.739;10.849
-27.609;58.73;10.874
-27.528;58.722;10.898
-27.447;58.713;10.922
-27.366;58.704;10.946
-52.259;58.562;5.1771
-52.179;58.571;5.1848
-52.099;58.581;5.1923
-52.019;58.591;5.1995
-51.939;58.6;5.2068
-51.859;58.61;5.214
-51.779;58.62;5.2213
-51.698;58.629;5.2281
-51.618;58.638;5.2349
-51.538;58.648;5.241
-51.457;58.657;5.2465
-51.377;58.666;5.2519
-51.296;58.675;5.257
-51.216;58.684;5.2622
-51.135;58.693;5.2664
-51.054;58.702;5.2706
-50.974;58.711;5.2747
-50.893;58.72;5.2787
-50.812;58.729;5.2827
-50.731;58.738;5.2866
-50.65;58.746;5.2905
-50.569;58.755;5.2943
-50.488;58.764;5.2983
-50.407;58.772;5.3025
-50.326;58.781;5.3068
-50.245;58.789;5.3112
-50.164;58.797;5.3157
-50.083;58.806;5.3201
-50.001;58.814;5.3244
-49.92;58.822;5.3288
-49.839;58.83;5.3327
-49.757;58.838;5.3367
-49.676;58.846;5.3404
-49.594;58.854;5.3442
-49.513;58.862;5.3482
-49.431;58.87;5.3524
-49.349;58.877;5.3567
-49.268;58.885;5.3611
-49.186;58.893;5.3656
-49.104;58.9;5.3699
-49.022;58.908;5.3744
-48.941;58.915;5.3788
-48.859;58.923;5.3832
-48.777;58.93;5.3878
-48.695;58.937;5.3926
-48.613;58.944;5.3975
-48.531;58.952;5.4025
-48.449;58.959;5.4077
-48.367;58.966;5.4121
-48.284;58.973;5.4166
-48.202;58.979;5.4208
-48.12;58.986;5.4248
-48.038;58.993;5.4288
-47.955;59;5.4322
-47.873;59.006;5.4358
-47.791;59.013;5.4384
-47.708;59.02;5.4413
-47.626;59.026;5.4435
-47.543;59.032;5.4455
-47.461;59.039;5.4474
-47.378;59.045;5.4489
-47.295;59.051;5.4501
-47.213;59.057;5.4493
-47.13;59.064;5.4488
-47.047;59.07;5.4467
-46.965;59.076;5.4448
-46.882;59.082;5.4421
-46.799;59.087;5.4391
-46.716;59.093;5.4361
-46.633;59.099;5.4328
-46.55;59.105;5.4297
-46.467;59.11;5.4257
-46.385;59.116;5.4222
-46.302;59.121;5.418
-46.218;59.127;5.4139
-46.135;59.132;5.4101
-46.052;59.137;5.4067
-45.969;59.143;5.4035
-45.886;59.148;5.4004
-45.803;59.153;5.3977
-45.72;59.158;5.3948
-45.636;59.163;5.3922
-45.553;59.168;5.3898
-45.47;59.173;5.3877
-45.386;59.178;5.3858
-45.303;59.182;5.3839
-45.22;59.187;5.3825
-45.136;59.192;5.3814
-45.053;59.196;5.3808
-44.969;59.201;5.383
-44.886;59.205;5.3859
-44.802;59.209;5.3899
-44.719;59.214;5.3948
-44.635;59.218;5.4002
-44.552;59.222;5.4062
-44.468;59.226;5.4127
-44.385;59.23;5.4204
-44.301;59.234;5.4284
-44.217;59.238;5.4388
-44.134;59.242;5.4498
-44.05;59.246;5.4624
-43.966;59.25;5.4763
-43.882;59.254;5.4909
-43.799;59.257;5.507
-43.715;59.261;5.5233
-43.631;59.264;5.5428
-43.547;59.268;5.5626
-43.463;59.271;5.5864
-43.379;59.274;5.6119
-43.295;59.278;5.6389
-43.212;59.281;5.6678
-43.128;59.284;5.6975
-43.044;59.287;5.7295
-42.96;59.29;5.7618
-42.876;59.293;5.796
-42.792;59.296;5.8307
-42.708;59.299;5.8668
-42.624;59.301;5.9037
-42.54;59.304;5.9413
